Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,88.500000,89.150002,84.949997,84.949997,84.949997,35518927
2020-12-01,86.750000,88.349998,86.349998,88.199997,88.199997,26930347
2020-12-02,88.349998,88.599998,87.000000,88.300003,88.300003,20086955
2020-12-03,88.750000,89.000000,87.550003,88.900002,88.900002,17287337
2020-12-04,88.699997,89.050003,87.550003,89.000000,89.000000,21877325
2020-12-07,90.000000,90.000000,86.500000,87.949997,87.949997,14362943
2020-12-08,87.250000,87.550003,86.400002,87.050003,87.050003,17975188
2020-12-09,89.650002,89.650002,88.050003,89.000000,89.000000,22563712
2020-12-10,89.800003,89.800003,88.550003,89.550003,89.550003,16749902
2020-12-11,90.000000,90.500000,88.849998,89.250000,89.250000,17411823
2020-12-14,89.849998,90.500000,89.250000,90.000000,90.000000,17641109
2020-12-15,91.500000,91.699997,89.550003,89.650002,89.650002,28424202
2020-12-16,90.199997,91.000000,89.699997,91.000000,91.000000,15970203
2020-12-17,91.500000,91.500000,89.250000,90.949997,90.949997,16685624
2020-12-18,91.500000,91.500000,88.849998,89.500000,89.500000,19399116
2020-12-21,90.150002,90.699997,88.900002,89.849998,89.849998,11789422
2020-12-22,89.849998,90.000000,87.900002,88.150002,88.150002,13616539
2020-12-23,88.250000,90.250000,87.900002,90.250000,90.250000,13470356
2020-12-24,91.150002,91.150002,91.150002,91.150002,91.150002,0
2020-12-28,91.349998,95.500000,91.199997,95.000000,95.000000,19472133
2020-12-29,95.349998,95.949997,93.800003,94.199997,94.199997,15460583
2020-12-30,94.050003,96.400002,92.750000,96.300003,96.300003,14337748
2020-12-31,95.449997,95.449997,95.449997,95.449997,95.449997,0
2021-01-04,94.849998,98.750000,94.800003,98.550003,98.550003,14388311
2021-01-05,98.550003,98.750000,96.199997,98.750000,98.750000,21310166
2021-01-06,97.099998,97.500000,95.099998,95.150002,95.150002,29405714
2021-01-07,96.949997,98.800003,96.500000,97.150002,97.150002,29905719
2021-01-08,98.500000,99.050003,97.500000,99.000000,99.000000,24506611
2021-01-11,99.000000,99.599998,98.000000,98.849998,98.849998,21138082
2021-01-12,98.849998,103.000000,98.050003,103.000000,103.000000,26659016
2021-01-13,103.000000,103.000000,101.199997,101.699997,101.699997,25254891
2021-01-14,101.000000,101.400002,99.300003,100.699997,100.699997,31310073
2021-01-15,100.800003,105.800003,100.800003,104.400002,104.400002,33139134
2021-01-18,105.699997,105.900002,103.500000,104.300003,104.300003,27167019
2021-01-19,105.400002,109.300003,104.500000,108.900002,108.900002,35308626
2021-01-20,108.400002,108.599998,104.500000,105.199997,105.199997,41955389
2021-01-21,103.500000,104.800003,102.099998,103.800003,103.800003,36111060
2021-01-22,101.699997,102.699997,100.099998,100.400002,100.400002,34287313
2021-01-25,102.000000,102.199997,99.750000,102.099998,102.099998,23401114
2021-01-26,102.099998,102.900002,99.849998,100.699997,100.699997,23614903
2021-01-27,100.099998,100.500000,98.599998,99.750000,99.750000,22892850
2021-01-28,97.000000,97.900002,94.050003,95.099998,95.099998,30219317
2021-01-29,97.300003,97.300003,92.949997,93.750000,93.750000,35514520
2021-02-01,93.900002,96.500000,93.650002,96.150002,96.150002,24116951
2021-02-02,97.500000,97.750000,95.050003,97.750000,97.750000,22723128
2021-02-03,98.699997,98.699997,95.650002,97.750000,97.750000,22650871
2021-02-04,97.500000,99.699997,96.550003,97.849998,97.849998,17883669
2021-02-05,100.099998,100.099998,98.400002,100.000000,100.000000,22457506
2021-02-08,102.000000,102.400002,99.849998,100.400002,100.400002,23023090
2021-02-09,103.099998,103.099998,100.900002,102.099998,102.099998,18888057
2021-02-10,103.400002,104.400002,102.400002,103.199997,103.199997,14537000
2021-02-11,103.400002,103.400002,103.400002,103.400002,103.400002,0
2021-02-16,105.000000,105.300003,103.800003,105.000000,105.000000,23239503
2021-02-17,105.500000,106.199997,103.599998,105.599998,105.599998,18520243
2021-02-18,104.800003,104.800003,100.500000,101.400002,101.400002,24064536
2021-02-19,100.900002,102.500000,100.199997,101.500000,101.500000,19504891
2021-02-22,103.800003,104.500000,100.000000,100.599998,100.599998,23972086
2021-02-23,99.650002,105.800003,99.349998,105.400002,105.400002,30967799
2021-02-24,105.000000,105.000000,101.199997,101.400002,101.400002,33677867
2021-02-25,102.400002,102.599998,100.300003,100.900002,100.900002,23207202
2021-02-26,99.599998,100.300003,97.050003,97.050003,97.050003,32032861
