Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,76.300003,76.900002,75.900002,76.900002,75.507645,41504793
2020-03-02,77.000000,77.550003,76.300003,76.449997,75.065788,31230325
2020-03-03,76.500000,77.250000,75.300003,75.500000,74.132988,31135827
2020-03-04,76.000000,76.000000,74.900002,75.050003,73.691139,29495534
2020-03-05,76.699997,77.650002,75.750000,77.650002,76.244064,36107180
2020-03-06,76.500000,76.900002,75.400002,76.050003,74.673035,36075026
2020-03-09,72.250000,74.050003,71.349998,71.400002,70.107224,64588679
2020-03-10,71.699997,72.449997,70.349998,71.849998,70.549072,45499472
2020-03-11,73.150002,73.150002,71.599998,72.000000,70.696358,32699987
2020-03-12,70.000000,70.199997,68.000000,68.800003,67.554298,46099937
2020-03-13,63.099998,70.099998,62.099998,69.099998,67.848862,74608006
2020-03-16,67.050003,68.000000,65.449997,66.050003,64.854095,58596450
2020-03-17,65.900002,65.900002,65.900002,65.900002,64.706810,0
2020-03-18,66.449997,68.650002,63.750000,64.349998,63.184872,51409513
2020-03-19,64.199997,65.000000,60.049999,60.700001,59.600964,61815523
2020-03-20,62.799999,65.400002,62.450001,64.949997,63.774010,67597427
2020-03-23,61.099998,63.099998,60.849998,61.500000,60.386475,48397874
2020-03-24,64.000000,64.400002,62.500000,63.900002,62.743023,39918961
2020-03-25,67.000000,68.099998,66.300003,68.099998,66.866974,52575517
2020-03-26,70.000000,70.000000,66.849998,67.599998,66.376030,43336846
2020-03-27,69.000000,69.800003,68.349998,68.750000,67.505203,40789160
2020-03-30,66.949997,69.449997,66.949997,68.150002,66.916077,36070250
2020-03-31,70.150002,70.650002,69.300003,70.150002,68.879852,36492678
2020-04-01,72.900002,72.900002,68.800003,69.699997,68.437996,30720451
2020-04-02,68.400002,69.800003,67.800003,69.800003,68.536194,24112795
2020-04-03,68.800003,70.199997,68.650002,70.199997,68.928947,22357646
2020-04-06,71.099998,71.400002,69.199997,70.849998,69.567177,23422269
2020-04-07,72.199997,72.650002,70.599998,72.650002,71.334595,26829036
2020-04-08,72.500000,72.500000,71.300003,72.150002,70.843643,20069604
2020-04-09,71.800003,72.150002,71.050003,71.599998,70.303596,24708535
2020-04-14,72.000000,72.449997,71.300003,71.900002,70.598167,41234559
2020-04-15,71.599998,72.150002,69.849998,70.300003,69.027138,40991622
2020-04-16,70.400002,70.400002,69.199997,69.449997,68.192528,26995000
2020-04-17,71.599998,73.250000,71.500000,72.599998,71.285492,30617490
2020-04-20,74.300003,74.300003,72.150002,72.150002,70.843643,20976609
2020-04-21,72.599998,72.599998,69.699997,70.150002,68.879852,23630631
2020-04-22,69.449997,70.150002,68.900002,70.099998,68.830757,19863265
2020-04-23,69.449997,70.050003,69.000000,69.650002,68.388908,26124822
2020-04-24,69.699997,70.199997,69.000000,69.550003,68.290718,18268684
2020-04-27,70.400002,71.099998,70.400002,70.949997,69.665367,19200796
2020-04-28,71.699997,72.150002,70.250000,71.800003,70.499985,24102563
2020-04-29,72.550003,72.900002,71.050003,71.949997,70.647263,24193032
2020-05-04,69.550003,69.750000,67.900002,67.900002,66.670601,49594872
2020-05-05,68.400002,68.699997,67.500000,67.849998,66.621506,27913660
2020-05-06,68.300003,69.750000,68.199997,69.250000,67.996147,25131358
2020-05-07,69.699997,69.699997,68.949997,69.199997,67.947052,20381039
2020-05-08,70.349998,70.349998,69.349998,69.650002,68.388908,14845871
2020-05-11,70.500000,71.699997,70.250000,70.699997,69.419891,16122509
2020-05-12,69.849998,70.699997,68.650002,69.550003,68.290718,20650743
2020-05-13,69.000000,69.500000,68.199997,68.550003,67.308830,27501558
2020-05-14,66.750000,67.699997,66.750000,67.150002,65.934181,31764967
2020-05-15,67.050003,68.900002,67.050003,68.250000,67.014259,28764182
2020-05-18,67.900002,68.849998,67.900002,68.300003,67.063362,20247776
2020-05-19,69.949997,70.650002,69.199997,70.400002,69.125328,40619080
2020-05-20,71.300003,71.300003,70.199997,70.599998,69.321701,20092077
2020-05-21,71.599998,71.750000,70.250000,70.650002,69.370804,31806656
2020-05-22,68.500000,68.500000,64.000000,64.000000,62.841209,84480926
2020-05-25,61.250000,63.200001,61.250000,63.000000,61.859314,83739590
2020-05-26,63.599998,64.900002,63.599998,64.750000,63.577629,37574068
2020-05-27,65.400002,65.449997,63.599998,64.500000,63.332157,46146883
2020-05-28,64.500000,65.400002,63.500000,64.699997,63.528534,57345769
2020-05-29,63.349998,63.650002,62.799999,62.849998,61.712029,53659666
2020-06-01,65.000000,67.000000,65.000000,66.099998,64.903183,49034716
2020-06-02,67.800003,68.199997,67.099998,68.199997,66.965164,46704046
2020-06-03,69.199997,71.150002,69.099998,70.849998,70.532082,65377098
2020-06-04,73.300003,73.300003,70.500000,71.000000,70.681412,42493813
2020-06-05,71.500000,72.000000,70.699997,71.599998,71.278717,41692168
2020-06-08,72.500000,72.599998,71.750000,72.250000,71.925804,26472272
2020-06-09,73.000000,75.000000,72.750000,74.199997,73.867050,39916495
2020-06-10,74.000000,74.300003,72.900002,73.449997,73.120415,31007067
2020-06-11,73.699997,73.800003,71.250000,71.349998,71.029839,33758378
2020-06-12,70.000000,71.599998,69.849998,71.400002,71.079620,24912837
2020-06-15,70.099998,70.949997,68.900002,69.199997,68.889488,32982526
2020-06-16,71.000000,72.050003,70.650002,70.650002,70.332985,25370835
2020-06-17,72.000000,72.000000,70.849998,71.900002,71.577377,18546748
2020-06-18,72.599998,72.599998,70.550003,72.000000,71.676926,13915865
2020-06-19,71.500000,72.599998,70.300003,71.800003,71.477829,31063057
2020-06-22,72.900002,73.650002,72.849998,73.099998,72.771988,27964847
2020-06-23,74.900002,74.949997,72.050003,74.900002,74.563911,35086580
2020-06-24,76.000000,76.500000,75.199997,75.599998,75.260773,28374878
2020-06-26,76.199997,76.199997,73.900002,74.099998,73.767502,25107992
